	BRD-K00337317|0.04	BRD-K00337317|0.12	BRD-K00337317|0.37	BRD-K00337317|1.11	BRD-K00337317|10.0	BRD-K00337317|3.33	BRD-K12184916|0.04	BRD-K12184916|0.12	BRD-K12184916|0.37	BRD-K12184916|1.11	BRD-K12184916|10.0	BRD-K12184916|3.33	BRD-K16478699|0.04	BRD-K16478699|0.12	BRD-K16478699|0.37	BRD-K16478699|1.11	BRD-K16478699|10.0	BRD-K16478699|3.33	BRD-K47983010|0.04	BRD-K47983010|0.12	BRD-K47983010|0.37	BRD-K47983010|1.11	BRD-K47983010|10.0	BRD-K47983010|3.33	BRD-K49865102|0.04	BRD-K49865102|0.12	BRD-K49865102|0.37	BRD-K49865102|1.11	BRD-K49865102|10.0	BRD-K49865102|3.33	BRD-K51313569|0.04	BRD-K51313569|0.12	BRD-K51313569|0.37	BRD-K51313569|1.11	BRD-K51313569|10.0	BRD-K51313569|3.33	BRD-K52911425|0.04	BRD-K52911425|0.12	BRD-K52911425|0.37	BRD-K52911425|1.11	BRD-K52911425|10.0	BRD-K52911425|3.33	BRD-K57080016|0.04	BRD-K57080016|0.12	BRD-K57080016|0.37	BRD-K57080016|1.11	BRD-K57080016|10.0	BRD-K57080016|3.33	BRD-K69932463|0.04	BRD-K69932463|0.12	BRD-K69932463|0.37	BRD-K69932463|1.11	BRD-K69932463|10.0	BRD-K69932463|3.33	BRD-K72703948|0.04	BRD-K72703948|0.12	BRD-K72703948|0.37	BRD-K72703948|1.11	BRD-K72703948|10.0	BRD-K72703948|3.33	BRD-K74065929|0.04	BRD-K74065929|0.12	BRD-K74065929|0.37	BRD-K74065929|1.11	BRD-K74065929|10.0	BRD-K74065929|3.33	BRD-K97764662|0.04	BRD-K97764662|0.12	BRD-K97764662|0.37	BRD-K97764662|1.11	BRD-K97764662|10.0	BRD-K97764662|3.33	BRD-K99616396|0.04	BRD-K99616396|0.12	BRD-K99616396|0.37	BRD-K99616396|1.11	BRD-K99616396|10.0	BRD-K99616396|3.33
AARS	0.013617018989589743	-0.19022067778650786	-0.05793284826413547	-0.17671835829486918	-0.2749750851112669	-0.11535960893117132	-0.8941115633796374	-0.8932874944408441	-0.7219210269325144	-0.6503937129734835	-0.71503197133011	-0.7379971582212116	-0.04654725173579107	0.05217224807280019	0.07234927857127893	0.16654707965521295	0.5362004170949254	-0.09926912179484877	-0.08549015687803123	-0.19467166023098711	0.049035531282425104	0.10918605752758204	-0.15615354646706456	0.28936868811542915	-0.05915705816916237	-0.015753313633574944	0.0038749453788270217	0.08501127776427755	0.0904994404297985	0.1166512173707486	0.06527763363543808	-0.06248042837857781	-0.10889063520407956	0.030952377492873495	-0.015585790891308923	0.013834102968226366	0.15837119294159288	-0.058443822379543896	-0.27597449849320554	-0.059062680101672406	-0.3653261422913771	-0.10046858349745769	0.16863787124923965	-0.13766324569411972	-0.09774547928714838	-0.12614762832351487	-0.17617341957376395	-0.17740190591173288	-0.021504616717647213	0.21283518449642772	0.016071715169546863	0.09949487847074796	-0.5936234322730142	-0.09906803585459716	-0.07987838262907705	-0.2242202738689283	-0.06284373237258538	0.3526057734170814	0.1378780107953895	0.01984498599933519	-0.01631115690851222	-0.14655831028849065	0.06724606267830839	-0.06815502384365502	0.35194614742979624	0.046196822574154695	0.11758306028430592	0.0254561370616108	-0.06521858115941785	0.02973462255460409	0.6839937607644497	0.04594216887077174	-0.055074930044161974	-0.016876920121189205	0.08284833221777473	-0.05392293996876537	0.03757834123154602	-0.14468277871694765
ABCB6	-0.0840138093568094	-0.20652918518182192	-0.008313716197749935	-0.17865254558860677	-0.09615163324017721	-0.1460035282027219	-0.7365247380103449	-1.0367946553492287	-0.8998253439659228	-0.9272735117019503	-0.9312603081913288	-0.6148679952656396	-0.3577765802236706	-0.11278843536856058	-0.07979844522501149	-0.008400977462577211	0.03796046723126759	0.057222154763030574	-0.26229553345385376	-0.2675104220754528	-0.38306939195502876	-0.7202440449361577	0.193811206527708	-0.1234915059902179	0.08707743354587952	0.1365022640032579	0.1407266485957391	0.1587533977172218	0.47382826429518515	0.058435334495240215	0.15766996515004225	0.23732320260567677	0.34827801794725693	0.09739630502348924	0.46654415949008143	0.355987705703211	0.37272481813817243	-0.11753970783934194	0.20148717252748613	-0.23930798758151064	0.042079646593287556	-0.04844076097060945	0.311769957676517	0.012766743712034234	-0.05702195836060161	0.043057611404714834	0.05258233622147834	0.08297642377706627	0.06249093289607958	-0.08719775960699867	0.04601457347743606	-0.12521120760438897	-0.7239182041734585	-0.13387037299702906	-0.06301506890654156	-0.062009742937073696	0.3202700725941107	0.38515148447665837	0.007613349058133008	0.280558222680473	-0.12508889882383686	0.20116145042881506	-0.24276581684139517	0.06352678917001982	-0.548070003409696	-0.7139660459033695	0.05415436835008928	0.12228986061339094	0.06041189468626692	-0.037383255927005386	-0.24007626709807983	0.015069977422702626	-0.17245683076445287	-0.6336723872474366	-0.10246998619220656	-0.16548040898847263	0.2145872443414909	-0.3415950548689839
ABCC5	-1.6477398124207754	0.15679708547207927	-0.9120292115872713	2.424321905202981	1.0305414850034378	-1.2809716365949944	0.48339837199040997	-1.8200322291166098	-1.5751393502922593	-1.479109785622916	-1.1949241459625417	-1.365201597263649	-1.1519128197890058	-1.2359182860425848	0.6719289642924858	0.27175930712374036	-1.322523596223145	2.1052244001006293	-0.1280823753847112	-0.08612160279293295	-0.17808386385440933	-0.44169976868273836	-0.42139788472846984	1.5130840768764067	-0.17738496626670125	-0.11302209120345973	-0.5254361138264797	-0.08575586853158577	0.48038843632133155	-0.35781921291860347	-0.9283606513065177	1.3739673456345047	1.3890431317738805	2.887516212029533	-0.776618713382061	0.9732173084719703	-0.8461515205373829	-0.8184660192951864	1.7125183977895382	1.2452710834389589	-0.7304461534798289	-0.7810300005872547	1.0781651625858057	1.2056264267961685	-0.4731004514213035	-0.5457934430061631	1.3300286011818134	1.291218929984927	-0.8861789338543353	-1.1318127936425533	-1.0174111955120502	1.036693135207108	0.8763533439194499	-0.8762950481118198	-0.10235216428164702	-0.17193117543256134	0.2944493316779691	0.05711295671859388	-0.24115430334787025	-0.03768341219415975	-0.09041975488601721	-0.5069812826272777	-0.24215680866750974	-0.2816903818018425	1.111586490282848	0.1567538093646356	-0.774426764747739	1.212447966890359	-0.7233525803505234	2.691260874222093	4.398423779986929	-0.5643262447060575	-0.43357413962947106	-0.3444692047903691	-0.5368189779772727	-0.20144538376657461	-0.27492684957899716	-0.25512250760253785
ABCF1	-0.1765142521790839	-0.16639433846805515	-0.26983602607144225	-0.14308289241441466	-0.558071535904953	-0.14468756155715687	-0.5426548284962814	-0.25053892958544743	-0.4786071558612483	-0.4376682272960479	-0.7406560915243805	-0.6589012609758278	-0.22049260722349473	-0.2360785868927676	-0.08428319988420441	-0.0754386802495682	-0.050286998284667796	-0.20783470924832592	-0.05194245658369212	-0.10049405780612967	0.1523597538471222	0.14591002413350238	0.10791459012235254	0.19838027699380767	-0.07077352817331181	-0.01604877306695727	0.1043683625524712	0.14286183837625402	0.2350128350274903	0.19572918068959572	0.09545405232482433	-0.620195967782322	-0.26208732421975967	-0.11567981742057458	0.04819490103015648	0.08393580978620759	0.05374329616650778	-0.028264214521207975	-0.11022499516741864	-0.09897872413654163	-0.2927018592335937	-0.15956475105632664	-0.15822817137460218	0.19030830976487798	-0.08631049906349553	-0.1269529605325926	0.06856747635935297	-0.012469070819510245	-0.1286432867310475	-0.08044487903490823	0.022428215585335327	0.0818175094200626	-0.4439900199473635	0.02137877903662992	-0.122920378558657	-0.2386931524317498	-0.04882266225977894	-0.05181106858783361	0.42813321087095463	0.23646248334493278	-0.011397049322676859	0.04369719012417524	-0.13363901708633286	-0.10038190678406818	-0.073174717240434	-0.17109137188428272	-0.04405132890043362	0.03744653002894379	-0.22457230436200368	0.4417589201820699	0.03786805407679594	-0.04938413211390191	-0.23295211604271002	-0.15583097991533576	-0.235266234892635	0.033072199620163424	0.106113627468849	-0.015242929293129018
ABCF3	0.08616521777188464	0.07404557851145555	0.12245201013775642	0.14011421664480928	0.4853564712004405	0.18832771788087518	0.1599739628122586	-0.051353302713092575	-0.05789337839149589	-0.007451841196173703	-0.032956882720839666	0.08992257235251049	-0.025103567276619998	0.10092153620807191	0.10185462127986906	0.13841201464584607	0.1559571290203312	0.08364034685397333	0.09465713211057943	-0.054857255297293385	0.21693792288953517	-0.5246684818649457	-0.2037843716913367	-0.4291685455328942	0.08010217806454226	0.3225360532182099	0.11192782024265119	0.047678306927761226	0.27203853906358283	0.25165817094904097	0.2711869326379279	0.2923337120572018	0.18039552262245273	0.42082620071319415	0.39945522579306453	0.4101734893986541	-0.3277636021005919	-0.09623027981757559	0.04645518481583307	0.05865523270874166	0.13298478325700755	0.24494232817855513	0.013262191323624606	0.08235520336428574	-0.03597488050326921	0.10219230594666347	0.10682723490633587	0.1275944519476789	0.022156824544994198	0.15501053250456862	-0.04729589191323432	0.0055369422690129495	0.06053099216164348	0.07945093692482767	0.2498398662169207	0.2646055862990651	0.4233897628484063	-0.46829745183180105	0.3657120290521316	0.2650608117300675	-0.07443004714029833	0.013525574636119586	0.01724929667015	-0.04578604066385535	-1.474832753543297	-0.2058527799744212	0.13992673755184803	0.14559016324351504	0.03705200220159869	-0.04713296742356654	-0.03614372187552325	0.06733425349810378	0.0640378831807021	0.26011786379454094	0.18406568388741937	0.16557468899383151	-0.2804110867336605	-0.025841706022373973
ABHD4	0.14407440712787523	-0.1223132904033779	0.6481308175605474	0.42596119752671263	0.2990973518182936	0.11386877223872609	-0.009077164768736878	0.07519061096796194	0.45673207193940496	0.25255834626627394	-0.1571078269161029	0.4082770574835184	-0.052271010906893046	-0.2350974250151694	-0.2253088663536369	0.3738036362180397	-0.14634702868888372	0.5568781315725166	0.44301201059268064	0.20283441069798544	-0.20471749712120424	-0.43119615555828467	-0.3289591077555958	-0.38549648722012836	0.3740244743797038	0.308851331853808	0.13161499563767667	0.38769861410549544	0.47588855181712425	0.2772866804164768	-0.15518349167529552	0.30848747477046307	0.30351596030447503	-0.19417706050588843	0.3917573554344272	0.6767573746104594	-0.6593313519869882	-0.19407920121554975	0.5075546648997333	0.6648810196751104	-0.31710072693694585	0.5174336976705254	0.25637134734612044	0.303344457873241	0.16724285564706598	0.3387729562541688	0.10202133833030924	0.37150306648415327	0.0688503844566443	-0.14595768222935077	-0.09494640700968955	-0.731158220146785	0.17888640124902336	0.055726177441965064	-0.15605943911095968	0.3649032533168792	0.10534966007257118	-0.2689451212047513	1.2607358760813359	0.3252869636075107	0.10345627225371216	-0.11145926466346061	0.18783015983745285	-0.06678662388743817	0.2151970002692861	-0.2870916395818197	0.6213046740262932	0.28943638184328907	-0.204610916383016	0.39622296105740595	0.5617127372175332	0.01315143849851689	0.22938067223280623	0.3203713048524195	0.03758852332075158	-0.2453326193388842	0.1279144545193279	-0.09538811258771762
ABHD6	-0.6649738098500849	-0.4513877568452038	-0.39632403920421694	1.1275976880216774	0.0012345589573374838	-0.39491815906117456	-0.8957697536357717	0.8415700662529076	-1.02972667254683	-0.8852743073073684	0.9670462191011318	-0.9708050817547514	-0.6397465046908083	1.3420900738470098	1.1919122838474951	-0.4824697495330259	1.168036104431332	3.3697055983855293	0.16611786794088168	-0.24597397758781092	-0.13795286660844708	0.13402665648334336	0.27742731060366665	0.3831839436000877	-0.13660863792582756	-0.5138373146762963	-0.09021217804436012	-0.23180780123578384	-0.46951989437352065	-0.482389153947948	-0.4505880417362338	-0.6668665460360949	1.3172813179672402	0.9873592597182075	1.1180646445161553	-0.3961719312975485	-0.45593535259205825	1.5390549552056096	-0.3740692138671875	-0.2461826801300052	1.3549974349237255	-0.2749418186885058	1.2372415219583814	-0.4979444908839401	-0.4883563133978077	1.3835194751780515	1.3641286127028927	-0.5229676128715601	1.5758248580399377	1.5000356166593487	1.3680839692392652	-0.30502621845532535	1.2880823817304385	-0.16632568451666105	-0.5876996424602007	-0.46743733058998416	-0.6228925617471077	-0.11893097000614894	-0.2152867994895722	-0.4637483731433232	-0.10988302446476557	1.6124377464469155	1.3816411362586358	-0.20954313004776073	1.4180813895163868	-0.196178874313782	-0.5612423471225206	-0.4990004236980156	-0.714191277821859	-0.3984697736719604	-0.5979816016330517	-0.40258211474264866	-0.6684648021841163	-0.49507522564306355	-0.5394783254530197	-0.3632146183409765	-0.6330620630342242	-0.49362723594695207
ABL1	1.4933716029911253	-0.7009317917676571	-0.543667917051969	0.6688847248620355	2.2056904197275666	-0.5856393728400947	-0.9881185518591146	2.339357777619974	-0.6766810557905881	-0.32277727561244013	-0.5489834832122099	1.003239777823009	-0.4287523704920056	0.6336258947980271	0.7791863142439736	-0.17106728981453223	-0.35782369178480494	-0.48180129303725067	-0.0035488966276409073	1.2182177117654491	0.0839897518808197	-0.2891090928072512	-0.3704085544735867	-0.5395406917721708	-0.10684488153784741	0.36693671115988363	-0.10842931452082283	0.34021154216056637	0.02555747769955931	0.28103292858629736	-0.32623559024532983	-0.6054791312655489	-0.6311511824799517	-0.4215769778607387	-0.6498995761027295	0.7480488453550324	-0.3901931045467532	0.8049079463736314	-0.6165941823504978	-0.5251942230118894	-0.3728350501498265	-0.7348893443053163	-0.5329361229124281	0.5444439779735989	-0.4568296720214467	-0.6729893515778521	-0.5050533213232832	0.4945547492963615	0.529312283959244	-0.3844043911735895	-0.376211405885031	-0.441740419077813	-0.7740979769488208	0.30959022321220014	0.008337127439903114	-0.10358337052774343	-0.05907372522465278	-0.022896884658490418	-0.07888687727705139	0.024298882577061736	-0.08513701566074516	-0.06607218830823787	-0.10278218264064105	0.033291107030873825	0.07447123290316782	-0.08861639105167048	-0.6551587002843334	0.588782701638241	-0.8559431092023241	0.9448681533385953	-0.34023129920312495	-0.7178834238951598	-0.09799869450558833	0.16794755578230744	0.0014813414718973423	0.15820055697907845	0.11728688546924608	0.1379994346258595
ACAA1	-0.1126928727655514	-0.06724445056067019	0.010085253827799198	0.5940736734449134	0.43082411735111314	0.0239672689522686	0.10207120313000513	0.27709256789997266	0.10592587621719633	0.16781093754611062	-0.0071442440428211755	0.36557318993852245	0.10489943058187438	0.0299753738085915	0.06904085744680977	0.3499494977049764	-0.1771408765993477	0.6484570975680418	0.5189350674897085	0.44988645800065835	1.2995157629251484	-0.07015852361755363	1.1241793808357243	-0.7942075198948982	0.2082908752060775	0.20369664607172916	0.09709384172900665	0.02749936828407436	0.2920474353684083	-0.02702108770467504	0.06554709514179417	0.5187363194669938	0.8393169762774674	0.21845135953034026	0.5740965597879999	1.0179282855750909	-0.015374944464443985	-0.2458265513995143	0.6841621071568594	0.056126602825989025	0.02844871046919817	0.2963089051574001	0.030912069173960315	0.38380244785936785	0.04054761504811447	0.10459437224370009	0.2393282439907889	0.16379814053291794	-0.15019000158317772	-0.13202604111607505	-0.12721855094158663	0.5066185593112037	-0.6211970256713917	-0.3312615445076282	-0.21569317155506754	-0.19599052508764694	0.010205353283567456	-0.007572304021506031	1.006625268050841	0.20002395318012076	0.21911783022282036	0.1711165765160422	0.6162108599378767	1.3197491616013977	0.5035664773143509	0.027402261867813138	-0.00621528720145766	-0.06539593657942433	0.4585207181099135	0.42110459838059455	0.045826653590174495	-0.019769614151038912	0.1794912416459402	0.3628498152538497	0.5650982384756335	0.9292757487453205	0.10222978314306512	0.4142506111129993
ACAT2	-1.0898012959676417	0.20044775997263584	0.2787789586325206	-1.1092256613291733	0.49754131189383227	0.42900507221790757	-2.3228597400102364	-2.6970102991176987	-2.044083934556372	-1.8435154587682296	-1.7765389127596587	-1.890974620357975	-0.11948740769031474	0.06826417834143624	0.10081005124382021	0.023123142106690864	-2.770816430311937	-1.1359541035147631	0.16212368600805446	0.11182160559280103	0.3758099402893649	0.7387640105191343	0.25921699265546155	1.1081727661476062	-0.4981096010889096	-0.9581284916720308	-0.2805864297062905	-0.7198975819670594	-0.637414389558481	-0.8516973891505989	-2.526115912509615	0.37840073186568457	0.5593222761765514	0.034550239716413245	0.503052902231541	-1.8941734506139285	0.5881782152418079	-1.1567508779447655	0.4715873154359385	-0.4683960089020924	-1.8706444183886781	-0.669620212934744	0.4509131072768507	0.2901620157401957	0.23635505964383352	0.2369765425339727	0.37237009541666993	0.41527386738112276	0.5964297335733558	-0.945048713161493	0.21188192317267016	-0.2743960441982963	-0.6324126838257328	0.011915769381796318	-0.6060154079534161	-0.06029429967170211	-0.6705682848415938	0.27103095399425453	-0.2275922296555747	-0.5457419746104583	1.1361166275353203	0.9072553404264673	0.5693477086420445	0.5233723888937943	0.39144343574747015	0.9448269169443387	-2.5303030388231007	0.379735147834712	0.2846023610941737	0.27902277157856964	0.23933301280607822	1.1364126010706253	0.14870022442511002	-0.006178036929124886	0.16451702952290206	0.055099428809677185	0.05733602514538975	0.27845415578853405
